site,depth_bin
WAK-2104,M
WAK-2115,M
WAK-2116,M
WAK-2118,M
WAK-2126,M
WAK-2127,M
WAK-2131,M
WAK-2137,M
WAK-2140,M
WAK-2142,M
WAK-2147,D
WAK-2150,M
WAK-2152,M
WAK-2169,S
WAK-2187,D
WAK-2191,D
WAK-2201,D
WAK-2202,M
WAK-2210,D
WAK-2214,D
WAK-2218,D
WAK-2230,D
WAK-2239,D
WAK-2251,S
WAK-2259,S
WAK-2267,S
WAK-2270,S
WAK-2271,S
AGR-455,S
AGR-468,S
AGR-469,S
AGR-472,M
AGR-475,M
AGR-480,M
AGR-485,D
AGR-491,D
AGR-506,D
AGU-604,S
AGU-610,S
AGU-633,S
AGU-637,S
AGU-641,D
AGU-653,M
AGU-656,M
AGU-661,D
AGU-664,D
AGU-674,M
AGU-689,D
AGU-695,D
AGU-696,M
AGU-699,D
ALA-359,M
ALA-377,D
ALA-384,D
ALA-387,D
ALA-410,M
ALA-412,M
ALA-429,S
ALA-439,S
FDP-456,S
FDP-458,S
FDP-461,S
FDP-462,M
FDP-466,M
FDP-468,M
FDP-469,M
FDP-482,D
FDP-487,D
GUA-2801,S
GUA-2803,S
GUA-2812,S
GUA-2813,S
GUA-2814,S
GUA-2816,S
GUA-2821,S
GUA-2827,S
GUA-2835,M
GUA-2838,M
GUA-2839,M
GUA-2844,M
GUA-2849,M
GUA-2850,M
GUA-2855,M
GUA-2862,M
GUA-2865,M
GUA-2868,M
GUA-2869,M
GUA-2879,D
GUA-2886,D
GUA-2898,D
GUA-2905,D
GUA-2911,D
GUA-2915,D
GUA-2923,S
GUA-2927,S
GUA-2929,S
GUA-2946,S
GUA-2959,M
GUA-2960,M
GUA-2963,M
GUA-2970,M
GUA-2975,M
GUA-2977,M
GUA-2981,M
GUA-2985,M
GUA-2988,M
GUA-2996,M
GUA-3003,D
GUA-3004,D
GUA-3018,D
GUA-3029,D
GUA-3035,D
GUA-3038,S
GUA-3039,S
GUA-3040,S
GUA-3046,M
GUA-3048,M
GUA-3049,M
GUA-3050,D
GUA-3051,D
GUA-3056,S
GUA-3059,S
GUA-3063,M
GUA-3064,S
GUA-3072,M
GUA-3073,M
GUA-3075,M
GUA-3077,M
GUA-3081,D
GUA-3082,D
GUA-3083,D
GUA-3086,D
GUA-3090,D
GUA-3092,M
GUA-3098,S
GUA-3100,S
GUA-3107,M
GUA-3108,M
GUA-3111,M
GUA-3116,D
GUA-3118,D
GUA-3119,D
GUA-3122,S
GUA-3125,S
GUA-3128,M
GUA-3130,M
GUA-3132,D
GUA-3136,D
GUA-9997,M
GUA-9998,S
GUA-9999,D
GUG-359,M
GUG-360,M
GUG-366,M
GUG-369,D
GUG-378,D
GUG-379,S
GUG-384,S
GUG-405,D
MAU-1304,M
MAU-1306,M
MAU-1309,M
MAU-1311,M
MAU-1314,M
MAU-1317,M
MAU-1321,M
MAU-1322,M
MAU-1323,S
MAU-1326,M
MAU-1327,M
MAU-1329,M
MAU-1330,M
MAU-1335,D
MAU-1341,D
MAU-1342,D
MAU-1350,D
MAU-1356,D
MAU-1357,D
MAU-1359,D
MAU-1360,S
MAU-1362,S
MAU-1367,S
MAU-1373,S
MAU-1378,M
MAU-1381,M
MAU-1382,D
MAU-1384,D
MAU-1386,M
MAU-1388,M
MAU-1392,M
MAU-1393,M
MAU-1395,S
MAU-1396,D
PAG-1350,S
PAG-1355,S
PAG-1359,S
PAG-1361,S
PAG-1362,M
PAG-1370,S
PAG-1372,S
PAG-1383,S
PAG-1392,D
PAG-1393,M
PAG-1396,M
PAG-1397,M
PAG-1407,M
PAG-1408,M
PAG-1410,M
PAG-1412,D
PAG-1414,M
PAG-1416,D
PAG-1418,M
PAG-1422,D
PAG-1429,D
PAG-1433,M
PAG-1439,M
PAG-1447,D
PAG-1455,D
PAG-1461,D
PAG-1467,D
PAG-1471,D
PAG-1483,D
PAG-1486,D
ROT-2101,D
ROT-2102,S
ROT-2107,M
ROT-2110,D
ROT-2112,M
ROT-2115,D
ROT-2118,S
ROT-2124,M
ROT-2141,M
ROT-2160,M
ROT-2162,M
ROT-2163,M
ROT-2171,D
ROT-2174,D
ROT-2180,D
ROT-2189,D
ROT-2196,S
ROT-2204,S
SAI-2150,S
SAI-2159,S
SAI-2161,S
SAI-2163,S
SAI-2164,S
SAI-2165,M
SAI-2172,S
SAI-2174,S
SAI-2185,S
SAI-2187,M
SAI-2200,M
SAI-2202,M
SAI-2204,M
SAI-2212,M
SAI-2215,M
SAI-2223,D
SAI-2229,M
SAI-2232,M
SAI-2235,M
SAI-2241,M
SAI-2247,M
SAI-2250,M
SAI-2259,M
SAI-2266,M
SAI-2268,M
SAI-2269,D
SAI-2275,M
SAI-2288,D
SAI-2292,D
SAI-2300,D
SAI-2325,D
SAI-2327,D
SAI-2337,D
SAI-2338,D
SAI-2340,D
SAI-2350,D
SAI-2356,D
SAI-2359,D
SAI-2361,D
SAI-2362,D
SAI-2367,D
SAI-2368,D
SAI-2380,D
SAI-2381,D
SAR-451,S
SAR-452,S
SAR-470,M
SAR-472,M
SAR-473,M
SAR-474,M
SAR-489,D
SAR-497,D
TIN-2104,S
TIN-2114,S
TIN-2122,S
TIN-2128,S
TIN-2131,S
TIN-2135,M
TIN-2143,M
TIN-2151,M
TIN-2152,M
TIN-2161,M
TIN-2162,D
TIN-2166,M
TIN-2170,D
TIN-2185,D
TIN-2187,D
TIN-2188,D
TIN-2191,D
TIN-2194,D
TIN-2195,D
TIN-2198,D
